data	SOY
2012.01	42.44
2012.02	43.47
2012.03	47.92
2012.04	51.67
2012.05	55.33
2012.06	58.29
2012.07	65.63
2012.08	72.60
2012.09	73.92
2012.10	67.27
2012.11	67.17
2012.12	67.25
2013.01	58.91
2013.02	55.63
2013.03	53.33
2013.04	50.53
2013.05	52.42
2013.06	58.69
2013.07	58.96
2013.08	59.85
2013.09	63.02
2013.10	64.10
2013.11	66.03
2013.12	66.73
2014.01	61.18
2014.02	62.03
2014.03	63.36
2014.04	61.83
2014.05	61.52
2014.06	60.87
2014.07	56.40
2014.08	56.11
2014.09	53.38
2014.10	55.09
2014.11	58.27
2014.12	58.27
2015.01	55.75
2015.02	56.19
2015.03	58.87
2015.04	57.57
2015.05	56.58
2015.06	56.80
2015.07	61.16
2015.08	63.31
2015.09	68.30
2015.10	69.98
2015.11	67.39
2015.12	66.10
2016.01	70.82
2016.02	68.68
2016.03	63.78
2016.04	66.01
2016.05	73.10
2016.06	80.96
2016.07	74.67
2016.08	68.17
2016.09	66.40
2016.10	66.08
2016.11	67.84
2016.12	68.60
2017.01	65.45
2017.02	63.89
2017.03	59.92
2017.04	55.99
2017.05	57.95
2017.06	58.31
2017.07	60.73
2017.08	57.01
2017.09	58.44
2017.10	60.32
2017.11	62.44
2017.12	63.73
2018.01	62.20
2018.02	65.00
2018.03	68.74
2018.04	73.97
2018.05	75.17
