data	EXPO
2012.01	16140.34
2012.02	18027.79
2012.03	20910.73
2012.04	19566.30
2012.05	23213.93
2012.06	19352.83
2012.07	21003.24
2012.08	22380.91
2012.09	19998.38
2012.10	21763.37
2012.11	20471.90
2012.12	19748.29
2013.01	15966.73
2013.02	15549.46
2013.03	19320.43
2013.04	20631.04
2013.05	21822.42
2013.06	21134.04
2013.07	20806.77
2013.08	21424.02
2013.09	20850.46
2013.10	22821.00
2013.11	20861.37
2013.12	20845.84
2014.01	16026.19
2014.02	15933.83
2014.03	17627.93
2014.04	19723.93
2014.05	20752.08
2014.06	20466.92
2014.07	23024.07
2014.08	20463.31
2014.09	19616.60
2014.10	18329.65
2014.11	15645.63
2014.12	17490.74
2015.01	13704.04
2015.02	12092.23
2015.03	16978.97
2015.04	15156.27
2015.05	16769.18
2015.06	19628.44
2015.07	18533.07
2015.08	15485.35
2015.09	16148.18
2015.10	16048.99
2015.11	13806.36
2015.12	16783.23
2016.01	11237.67
2016.02	13342.88
2016.03	15991.81
2016.04	15371.76
2016.05	17568.73
2016.06	16738.07
2016.07	16328.21
2016.08	16986.46
2016.09	15800.12
2016.10	13713.13
2016.11	16215.93
2016.12	15940.64
2017.01	14908.25
2017.02	15468.69
2017.03	20073.93
2017.04	17679.83
2017.05	19789.99
2017.06	19779.12
2017.07	18758.76
2017.08	19470.94
2017.09	18659.33
2017.10	18871.94
2017.11	16683.10
2017.12	17595.28
