data	IMP
2012.01	18903.00
2012.02	15315.00
2012.03	16687.00
2012.04	17611.00
2012.05	18544.00
2012.06	18216.00
2012.07	17156.00
2012.08	18378.00
2012.09	18132.00
2012.10	19793.00
2012.11	17774.00
2012.12	19730.00
2013.01	19603.00
2013.02	14922.00
2013.03	17410.00
2013.04	18535.00
2013.05	17666.00
2013.06	18317.00
2013.07	18490.00
2013.08	19697.00
2013.09	19908.00
2013.10	20378.00
2013.11	17402.00
2013.12	19457.00
2014.01	17566.00
2014.02	17794.00
2014.03	17529.00
2014.04	19282.00
2014.05	19527.00
2014.06	18819.00
2014.07	19894.00
2014.08	17776.00
2014.09	18453.00
2014.10	18356.00
2014.11	16032.00
2014.12	17107.00
2015.01	15604.00
2015.02	11812.00
2015.03	14682.00
2015.04	14601.00
2015.05	13568.00
2015.06	14107.00
2015.07	13248.00
2015.08	11504.00
2015.09	12604.00
2015.10	12276.00
2015.11	10560.00
2015.12	11607.00
2016.01	9646.00
2016.02	9155.00
2016.03	11412.00
2016.04	9641.00
2016.05	9792.00
2016.06	11480.00
2016.07	9837.00
2016.08	10890.00
2016.09	11390.00
2016.10	11084.00
2016.11	10196.00
2016.12	11757.00
2017.01	11683.00
2017.02	9193.00
2017.03	11854.00
2017.04	9898.00
2017.05	12068.00
2017.06	11710.00
2017.07	12175.00
2017.08	12081.00
2017.09	12530.00
2017.10	12820.00
2017.11	12662.00
2017.12	14014.00
