Meses	MA
jan/07	-252
fev/07	1893
mar/07	937
abr/07	2315
mai/07	2309
jun/07	2470
jul/07	1549
ago/07	2393
set/07	2636
out/07	1034
nov/07	913
dez/07	-2019
jan/08	554
fev/08	1015
mar/08	1248
abr/08	2909
mai/08	1705
jun/08	3445
jul/08	5300
ago/08	4815
set/08	4165
out/08	818
nov/08	-919
dez/08	-5711
jan/09	-3202
fev/09	-1243
mar/09	-402
abr/09	-879
mai/09	-1226
jun/09	-1163
jul/09	1195
ago/09	1998
set/09	917
out/09	318
nov/09	2730
dez/09	-3827
jan/10	816
fev/10	2260
mar/10	3792
abr/10	5114
mai/10	1756
jun/10	4702
jul/10	4473
ago/10	2414
set/10	3198
out/10	3932
nov/10	1887
dez/10	-6407
jan/11	-1060
fev/11	1160
mar/11	-3816
abr/11	1935
mai/11	24
jun/11	4683
jul/11	3021
ago/11	3429
set/11	3759
out/11	2064
nov/11	334
dez/11	-2980
jan/12	-900
fev/12	-811
mar/12	-1637
abr/12	625
mai/12	1730
jun/12	1865
jul/12	3400
ago/12	1434
set/12	1832
out/12	22
nov/12	-318
dez/12	-7827
jan/13	-3233
fev/13	-1217
mar/13	-729
abr/13	-736
mai/13	-1836
jun/13	734
jul/13	1576
ago/13	3535
set/13	2913
out/13	3563
nov/13	653
dez/13	-5804
jan/14	-4520
fev/14	-866
mar/14	-2637
abr/14	-434
mai/14	696
jun/14	1179
jul/14	3441
ago/14	3918
set/14	3552
out/14	-2792
nov/14	-3968
dez/14	-5809
jan/15	-4090
fev/15	-2260
mar/15	-659
abr/15	-735
mai/15	-1262
jun/15	2001
jul/15	2121
ago/15	947
set/15	221
out/15	-2311
nov/15	-3235
dez/15	-7324
jan/16	-3241
fev/16	-5833
mar/16	-2307
abr/16	-3031
mai/16	-196
jun/16	17
jul/16	214
ago/16	2246
set/16	-1598
out/16	-410
nov/16	-1748
dez/16	-4747
jan/17	-2149
fev/17	-1963
mar/17	-2801
abr/17	-1159
mai/17	782
jun/17	1531
jul/17	1567
ago/17	1734
